Arena,Date,Day,Group,Mark,Sex,Fish_ID,Notes,tot_dist,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,latency_high,freq_high
1,7/02/2020,Friday,WCA,Red.Gre,male,a9680,,2149.51,82.48,96.72,260.88,0.72,440.08,124.56,18
2,7/02/2020,Friday,WCA,Ora.Red,male,a9606,"Jumped, may need to run again",923.249,0,11.92,428.16,2.4,440.08,-,0
3,7/02/2020,Friday,WCA,Whi.Yel,female,a9599,,1962.13,252.8,112,75.28,0.72,440.08,0,20
4,7/02/2020,Friday,WCA,Gre.Bla,male,a9554,,928.362,45.6,36.8,357.68,145.44,440.08,381.2,2
5,7/02/2020,Friday,WCA,Gre.Pur,female,a9556,,2375.08,106.32,142.56,191.2,0.16,440.08,32.32,32
6,7/02/2020,Friday,WCA,Pur.Red,female,a9566,,1887.34,99.44,103.84,236.8,0.24,440.08,81.04,11
1,7/02/2020,Friday,WCA,Pur._,male,a9562,,232.79,0,0,440.08,344.72,440.08,-,0
2,7/02/2020,Friday,WCA,Red.Yel,female,a9678,,1456.09,66.72,51.92,321.44,0.88,440.08,0,7
3,7/02/2020,Friday,WCA,Ora.Gre,female,a9603,,1517.76,95.44,106.8,237.84,0.56,440.08,247.04,14
4,7/02/2020,Friday,WCA,Red.Whi,female,a9679,,1134.51,34.24,26.56,379.28,3.52,440.08,0,8
5,7/02/2020,Friday,WCA,Red.Bla,male,a9676,,602.528,0,0,440.08,208.56,440.08,-,0
6,7/02/2020,Friday,WCA,Red.Pin,female,a9673,,1963.34,67.92,55.68,316.48,1.12,440.08,0,11
1,7/02/2020,Friday,WCA,Gre.Blu,female,a9553,,2187.93,107.12,99.68,233.28,0.4,440.08,74.64,17
2,7/02/2020,Friday,WCA,Ora.Blu,female,a9607,,1876.22,79.92,108,252.16,0.16,440.08,182.56,18
3,7/02/2020,Friday,WCA,Pin.Gre,male,a9588,,1886.37,126.56,136.4,177.12,1.36,440.08,92.08,28
4,7/02/2020,Friday,WCA,Whi.Bla,female,a9598,,1995.07,48.72,78.96,312.4,0.24,440.08,137.84,17
5,7/02/2020,Friday,WCA,Red.Ora,male,a9681,,772.072,0,0,440.08,67.04,440.08,-,0
6,7/02/2020,Friday,WCA,Ora.Ora,male,a9706,,1811.46,60.16,81.28,298.56,0.56,440,187.44,12
1,7/02/2020,Friday,WCA,Ora.Whi,male,a9611,,1936.56,68.8,46.88,324.4,0.4,440.08,302.8,7
2,7/02/2020,Friday,WCA,Gre.Bro,male,a9558,,2937.58,213.12,148.4,78.56,0.32,440.08,16.56,46
3,7/02/2020,Friday,MB,Pin.Yel,female,a9854,,2133.94,147.84,129.36,162.88,0.32,440.08,36.24,26
4,7/02/2020,Friday,MB,_.Red,male,a9849,,1485.52,40.8,62.24,337.04,2.24,440.08,259.04,10
5,7/02/2020,Friday,MB,Bla.Gre,female,a9787,,1798.74,206.4,147.12,86.56,0.32,440.08,0,18
6,7/02/2020,Friday,MB,Red.Pin,male,a9755,,1976.73,120.48,86.56,233.04,0.16,440.08,157.36,13
1,7/02/2020,Friday,MB,Ora.Pur,male,a9821,,2701.74,222.72,90.08,127.28,0.4,440.08,5.76,28
2,7/02/2020,Friday,MB,Yel.Yel,male,a9765,,1723.82,42.88,52.32,344.88,1.76,440.08,264.56,12
3,7/02/2020,Friday,MB,Yel.Ora,female,a9778,,2309.1,147.36,93.68,199.04,0.08,440.08,46.08,24
4,7/02/2020,Friday,MB,_.Ora,female,a10198,,2267.65,159.84,123.04,157.2,0.32,440.08,23.12,28
5,7/02/2020,Friday,MB,Gre.Ora,female,a9868,,1783.96,50.8,43.28,346,1.44,440.08,154.96,7
6,7/02/2020,Friday,MB,Blu.Gre,male,a9846,,2056.54,31.28,34.16,374.64,0.56,440.08,332.56,9
1,7/02/2020,Friday,MB,Yel.Bla,female,a9777,,1919.09,24.88,28.88,386.32,0.48,440.08,388.24,4
2,7/02/2020,Friday,MB,_.Blu,Male,a9844,,656.676,0,0,440.08,25.44,440.08,-,0
3,7/02/2020,Friday,MB,Red._,male,a9752,,1675.05,195.68,120.08,124.32,0.24,440.08,96.08,18
4,7/02/2020,Friday,MB,Ora.Yel,male,a9813,,2156.08,110.16,112.4,217.52,0.56,440.08,97.92,19
5,7/02/2020,Friday,MB,Pin.Whi,female,a9862,,1655.86,46.72,78.96,314.4,0.8,440.08,235.52,10
6,7/02/2020,Friday,MB,_._,female,a9774,,1557.01,0,10.64,429.44,0.48,440.08,-,0
1,7/02/2020,Friday,MB,Red.Bla,male,a9756,Forgot to put labels,2233.13,32.32,59.28,348.48,0.16,440.08,325.76,8
2,7/02/2020,Friday,MB,Blu.Blu,male,a9843,Forgot to put labels,888.886,0,0,440.08,2,440.08,-,0
3,7/02/2020,Friday,MB,Gre.Pur,female,a9867,Forgot to put labels,808.099,2.96,13.52,423.6,16.96,440.08,432.96,1
4,7/02/2020,Friday,MB,Pur.Pin,male,a9824,Forgot to put labels,1742.52,55.76,71.44,312.88,0.32,440.08,313.36,12
5,7/02/2020,Friday,WTA,Blu.Blu,female,a10046,Forgot to put labels,1317.66,0,0,440.08,7.52,440.08,-,0
6,7/02/2020,Friday,WTA,Gre.Blu,female,a10041,Forgot to put labels,1580.2,41.84,75.44,322.8,0.24,440.08,301.6,7
1,7/02/2020,Friday,WTA,Ora.Red,male,a10064,,1744.94,0,0,439.92,0.32,439.92,-,0
2,7/02/2020,Friday,WTA,Whi.Pur,female,a10158,,881.621,0,0,440.08,4.16,440.08,-,0
3,7/02/2020,Friday,WTA,Ora.Bro,male,a10070,,1957.61,95.68,104.56,239.84,0.88,440.08,143.36,20
4,7/02/2020,Friday,WTA,Pin.Bla,male,a10092,,1997.9,54.4,102.16,283.52,1.2,440.08,0,16
5,7/02/2020,Friday,WTA,Gre.Pin,female,a10036,,2044.26,95.28,115.68,229.12,0.08,440.08,97.92,17
6,7/02/2020,Friday,WTA,Red.Bla,female,a10164,,1665.84,40.8,70.24,329.04,0.4,440.08,294.64,15
1,7/02/2020,Friday,WTA,Red.Pur,male,a10166,,832.425,0,0,440.08,2.48,440.08,-,0
2,7/02/2020,Friday,WTA,Whi.Yel,male,a10157,,1389.37,4.72,24,411.36,0.8,440.08,325.6,1
3,7/02/2020,Friday,WTA,Bro.Bro,male,a10201,,2253.73,216.4,88.32,135.36,0.16,440.08,63.28,24
4,7/02/2020,Friday,WTA,Blu.Yel,male,a10055,,677.285,0,0,440.08,145.52,440.08,-,0
5,7/02/2020,Friday,WTA,Red.Whi,female,a10172,,636.035,0,0,440.08,83.6,440.08,-,0
6,7/02/2020,Friday,WTA,Blu._,female,a10039,,1870.97,24.32,70,345.76,0,440.08,152.64,8
1,7/02/2020,Friday,WTA,Yel._,male,a10095,,2561.71,92.8,122.08,225.2,0.48,440.08,84.72,25
2,7/02/2020,Friday,WTA,Pur.Blu,female,a10079,,2080.7,115.44,167.76,156.88,0.08,440.08,67.6,20
3,7/02/2020,Friday,WTA,Pin.Gre,female,a10087,,855.862,98.08,39.92,302.08,52.88,440.08,0,3
4,7/02/2020,Friday,WTA,Pur._,male,a10077,,2381.48,145.36,86,208.72,0.08,440.08,53.2,26
5,7/02/2020,Friday,WTA,Pin.Blu,male,a10090,,2441,131.76,166.88,141.44,0,440.08,43.68,49
6,7/02/2020,Friday,WTA,Gre.Ora,female,a10045,,106.059,0,0,440.08,270.72,440.08,-,0
1,7/02/2020,Friday,PB,Pin.Bro,female,a9955,net was in front of camera for first minute,1145.08,21.28,48.56,370.24,81.84,440.08,331.76,3
2,7/02/2020,Friday,PB,Red.Bla,male,a9949,,1730.31,18.48,49.28,372.32,2.88,440.08,350.64,9
3,7/02/2020,Friday,PB,Whi._,female,a9924,,1812.56,71.2,92.48,276.4,0.88,440.08,181.2,23
4,7/02/2020,Friday,PB,Pin.Ora,female,a9953,,1559.13,143.36,87.28,209.44,0.32,440.08,0,11
5,7/02/2020,Friday,PB,Whi.Ora,female,a9927,,2115.79,31.84,69.68,338.56,0.72,440.08,286.64,14
6,7/02/2020,Friday,PB,Red.Yel,male,a9947,,639.631,0,0,440.08,117.76,440.08,-,0
1,7/02/2020,Friday,PB,Blu.Gre,male,a9983,,1616.47,17.52,31.12,391.44,2.16,440.08,287.84,9
2,7/02/2020,Friday,PB,Yel.Gre,male,a9901,,2143.97,53.68,95.84,290.56,1.12,440.08,45.6,19
3,7/02/2020,Friday,PB,Red._,male,a9941,,1133.96,0,0,440.08,3.52,440.08,-,0
4,7/02/2020,Friday,PB,_.Red,female,a9903,,940.452,0,0,440.08,29.2,440.08,-,0
5,7/02/2020,Friday,PB,_.Ora,female,a9964,,1760,72.08,96.48,271.52,0.96,440.08,134.16,14
6,7/02/2020,Friday,PB,Bro.Bro,female,a9910,,1582.05,24.16,50.88,365.04,0.4,440.08,310,9
1,7/02/2020,Friday,PB,_.Pur,male,a9981,,1651.14,36.96,68.88,316.08,2,421.92,235.12,10
2,7/02/2020,Friday,PB,Blu.Blu,male,a9973,,2519.32,138.32,120.08,181.12,1.2,439.52,80.32,31
3,7/02/2020,Friday,PB,Pin.Gre,female,a9952,,1563.99,89.28,71.2,279.04,12.96,439.52,216.96,14
4,7/02/2020,Friday,PB,Yel.Pur,female,a9899,,450.967,0,0,439.52,248.8,439.52,-,0
5,7/02/2020,Friday,PB,Bro._,male,a9908,,544.084,0,0,439.52,130.64,439.52,-,0
6,7/02/2020,Friday,PB,Bla.Whi,female,a9923,,482.015,0,0,439.52,158.48,439.52,-,0
1,7/02/2020,Friday,PB,Blu.Pur,male,a9975,jumped while placing in long tank,1925.67,13.12,38.96,388,0.96,440.08,183.04,5
2,7/02/2020,Friday,PB,Bro.Blu,male,a9937,potentially injured pre-trial,1206.53,0,0,440.08,1.6,440.08,-,0
3,7/02/2020,Friday,WCB,Ora.Yel,male,NA,"LABEL IS PIN.YEL, BUT FISH WAS ACTUALLY ORA.YEL (EXCLUSION) - EXCLUDE FROM ETHOVISION",1857.3,54.16,64.4,321.52,1.68,440.08,26.48,13
4,7/02/2020,Friday,WCB,Blu.Gre,female,a9578,,1221.19,23.76,54.16,362.16,2.88,440.08,189.04,8
5,7/02/2020,Friday,WCB,Red.Bro,male,a9677,,69.4358,0,0,440.08,422.32,440.08,-,0
6,7/02/2020,Friday,WCB,Ora.Bro,male,a9610,,2684.02,88.64,112.8,238.64,0.48,440.08,176.48,38
1,7/02/2020,Friday,WCB,Ora.Gre,male,a9612,,1236.27,0,0,440.08,9.92,440.08,-,0
2,7/02/2020,Friday,WCB,Blu.Red,male,a9582,,1550.02,36.64,54.32,349.12,2.24,440.08,347.84,11
3,7/02/2020,Friday,WCB,Pur.Blu,male,a9687,,2568.64,138.24,74.64,227.2,4.48,440.08,165.44,22
4,7/02/2020,Friday,WCB,Pur.Pin,male,a9686,jumped entering tank,1694.41,17.6,23.92,398.56,0.8,440.08,6.88,4
5,7/02/2020,Friday,WCB,Blu.Whi,female,a9580,,1528.11,27.52,29.2,383.36,8,440.08,405.12,3
6,7/02/2020,Friday,WCB,Ora.Bla,female,a9608,,209.605,0,0,440.08,74.48,440.08,-,0
1,7/02/2020,Friday,WCB,Bro.Gre,female,a9704,,2121.91,53.44,102.16,284.48,0.4,440.08,216.56,17
2,7/02/2020,Friday,WCB,Blu.Blu,male,a9575,,1874.69,0,39.76,400.32,0.48,440.08,-,0
3,7/02/2020,Friday,WCB,Pin.Whi,male,a9590,,447.472,0,0,440.08,135.44,440.08,-,0
4,7/02/2020,Friday,WCB,Yel.Yel,female,a9613,,871.065,0,0,440.08,59.6,440.08,-,0
5,7/02/2020,Friday,WCB,_.Pur,female,a9605,,2149.85,148.32,124.48,167.28,0.16,440.08,50.4,21
6,7/02/2020,Friday,WCB,Whi.Ora,female,a9596,,1841.66,107.12,125.04,207.92,0.24,440.08,117.12,16
1,7/02/2020,Friday,WCB,Blu.Bro,female,a9579,,1108.78,0,0,440.08,2.64,440.08,-,0
2,7/02/2020,Friday,WCB,Blu.Pur,male,a9581,,796.395,0,0,440.08,19.52,440.08,-,0
3,7/02/2020,Friday,WCB,Pin.Yel,male,a9587,,2481.93,108.48,86.88,244.72,1.12,440.08,190.24,32
4,7/02/2020,Friday,WCB,Blu.Ora,female,a9583,,104.572,0,0,440.08,385.12,440.08,-,0
5,7/02/2020,Friday,WCB,Bro.Bla,female,a9700,,989.445,0,0,440.08,6.88,440.08,-,0
1,7/02/2020,Friday,MA,Yel._,male,a9763,,510.908,0,0,440.08,19.12,440.08,-,0
2,7/02/2020,Friday,MA,_.Gre,male,a9803,,1394.86,0,0,440.08,2.4,440.08,-,0
3,7/02/2020,Friday,MA,Gre.Gre,female,a9804,,1451.61,0,0,440.08,21.84,440.08,-,0
4,7/02/2020,Friday,MA,Red.Blu,female,a9759,,11.8982,0,0,440.08,432.96,440.08,-,0
5,7/02/2020,Friday,MA,Red.Pur,female,a9762,,1602.28,8.4,34.88,396.8,1.28,440.08,369.44,3
6,7/02/2020,Friday,MA,Whi.Ora,female,a9839,,36.6685,0,0,440.08,430.96,440.08,-,0
1,7/02/2020,Friday,MA,Pin.Ora,male,a9858,,805.875,0,20.24,419.84,11.68,440.08,-,0
2,7/02/2020,Friday,MA,Gre.Whi,female,a9809,,1475.26,47.84,42.4,349.84,1.52,440.08,324.4,8
3,7/02/2020,Friday,MA,Red.Yel,female,a9761,,1634.72,38.72,54,347.36,0.8,440.08,345.04,6
4,7/02/2020,Friday,MA,Bro.Gre,female,a9796,,1752.87,66.96,104.88,268.24,1.04,440.08,143.04,15
5,7/02/2020,Friday,MA,Red.Gre,female,a9758,,2012.56,48,82.64,308.88,1.6,439.52,167.84,16
6,7/02/2020,Friday,MA,Red.Bro,male,a9760,,1822.69,17.76,59.84,362.48,0.4,440.08,363.68,4
1,7/02/2020,Friday,MA,Red._,female,a9848,,375.688,0,0,440.08,107.44,440.08,-,0
2,7/02/2020,Friday,MA,Gre.Blu,male,a9808,,334.403,0,0,440.08,283.2,440.08,-,0
3,7/02/2020,Friday,MA,_.Yel,male,a9764,,1913.58,30.56,121.36,288.16,0.08,440.08,267.44,9
4,7/02/2020,Friday,MA,Bro.Yel,female,a9794,,662.993,0,0,440.08,2.16,440.08,-,0
5,7/02/2020,Friday,MA,Blu.Yel,female,a9845,,2281,151.92,89.52,198.64,0.4,440.08,107.04,17
6,7/02/2020,Friday,MA,_.Bla,male,a9800,,890.941,0,0,440.08,166.8,440.08,-,0
1,7/02/2020,Friday,MA,Red.Red,male,a9754,,2220.65,44.72,211.28,184.08,0.08,440.08,17.44,15
2,7/02/2020,Friday,MA,Bro.Pin,male,a9793,,1307.41,14.72,141.04,284.32,0.64,440.08,176.64,3
3,7/02/2020,Friday,WTB,Ora.Ora,female,a10060,,2088.34,87.84,89.76,262.48,1.44,440.08,184.56,17
4,7/02/2020,Friday,WTB,Gre.Bro,male,a10044,,1589.64,11.36,82.64,346.08,31.52,440.08,214.88,4
5,7/02/2020,Friday,WTB,_.Blu,female,a10040,,2281.44,64,113.2,262.88,0.08,440.08,163.12,17
6,7/02/2020,Friday,WTB,Whi.Bro,female,a10159,,2238.86,216.32,99.92,123.84,0.32,440.08,27.44,26
1,7/02/2020,Friday,WTB,Red._,male,a10155,,177.122,0,0,440.08,385.84,440.08,-,0
2,7/02/2020,Friday,WTB,Pur.Red,female,a10076,,1826.83,78.08,65.52,296.48,0.48,440.08,218.16,12
3,7/02/2020,Friday,WTB,Blu.Ora,female,a10059,,548.331,0,0,440.08,126.88,440.08,-,0
4,7/02/2020,Friday,WTB,Whi.Ora,female,a10160,,2093.68,127.44,89.28,223.36,0.4,440.08,112.16,25
5,7/02/2020,Friday,WTB,Ora.Pin,female,a10063,,1655.56,242,135.84,62.24,0,440.08,0,40
6,7/02/2020,Friday,WTB,Whi.Bla,male,a10152,,1126.92,0,0,440.08,1.92,440.08,-,0
1,7/02/2020,Friday,WTB,Pur.Gre,male,a10074,,728.281,0,0,440.08,14.08,440.08,-,0
2,7/02/2020,Friday,WTB,Pin.Bro,male,a10088,,11.6262,0,0,440.08,435.04,440.08,-,0
3,7/02/2020,Friday,WTB,Pur.Pur,female,a10081,,1983.24,88.32,121.28,230.48,0.08,440.08,38.64,18
4,7/02/2020,Friday,WTB,Gre.Pur,male,a10043,,1765.64,55.76,71.12,313.2,0.56,440.08,223.76,8
5,7/02/2020,Friday,WTB,Red.Bro,male,a10169,,2332.41,62.4,92.96,284.72,0.16,440.08,190.32,15
6,7/02/2020,Friday,WTB,Yel.Yel,female,a10097,,1939.36,109.68,71.52,258.88,0.88,440.08,89.52,14
1,7/02/2020,Friday,WTB,Pin.Red,male,a10089,,2194.84,42.48,68,329.36,0.64,440.08,109.92,16
2,7/02/2020,Friday,WTB,_.Yel,male,a10096,,869.797,0,0,440.08,109.28,440.08,-,0
3,7/02/2020,Friday,WTB,Whi.Pin,female,a10154,,1239.74,2.16,26.96,410.96,0.96,440.08,427.6,1
4,7/02/2020,Friday,WTB,Gre._,male,a10037,,3061.26,237.28,131.84,70.96,0,440.08,14.4,41
5,7/02/2020,Friday,PA,Gre.Ora,female,a9876,,1932.48,54.24,79.76,306.08,1.28,440.08,173.36,18
6,7/02/2020,Friday,PA,_.Bro,female,a9917,,2088.11,64.4,67.12,308.56,0.48,440.08,161.2,19
1,7/02/2020,Friday,PA,Blu.Bla,male,a9984,,576.332,0,0,440.08,226.16,440.08,-,0
2,7/02/2020,Friday,PA,Gre.Blu,male,a9881,,18.0941,0,0,440.08,432.08,440.08,-,0
3,7/02/2020,Friday,PA,Pin.Yel,male,a9956,,2545.8,52.24,111.2,276.64,0.72,440.08,106,27
4,7/02/2020,Friday,PA,Whi.Red,male,a9931,,67.672,0,0,440.08,413.2,440.08,-,0
5,7/02/2020,Friday,PA,Whi.Bro,female,a9929,,847.609,58.8,2.96,377.6,41.28,439.36,0.72,1
6,7/02/2020,Friday,PA,Bla.Gre,female,a9922,,1111.78,0,2.16,437.92,52.88,440.08,-,0
1,7/02/2020,Friday,PA,Pin.Blu,male,a9960,,2094.56,17.04,86.08,336.96,8.96,440.08,340.16,8
2,7/02/2020,Friday,PA,Ora.Ora,female,a9962,,2010.22,31.68,72.16,336.24,10.08,440.08,298.88,9
3,7/02/2020,Friday,PA,Gre.Gre,female,a9874,,1519.14,40.64,53.84,345.6,0.48,440.08,331.04,7
4,7/02/2020,Friday,PA,Bla.Ora,female,a9887,,173.965,0,0,440.08,390.08,440.08,-,0
5,7/02/2020,Friday,PA,Pin.Red,female,a9958,,1195.62,0,2,438.08,51.36,440.08,-,0
6,7/02/2020,Friday,PA,Bla.Red,female,a9921,,582.514,0,0,440.08,52.8,440.08,-,0
1,7/02/2020,Friday,PA,Whi.Whi,male,a9926,,2088.86,46.96,101.04,292.08,0.32,440.08,118.72,14
2,7/02/2020,Friday,PA,Gre.Pin,male,a9880,,672.782,0,0,440.08,64,440.08,-,0
3,7/02/2020,Friday,PA,Bla.Pin,male,a9919,,1915.43,43.36,91.92,304.8,55.2,440.08,190.48,17
4,7/02/2020,Friday,PA,Ora.Pin,female,a9961,,33.678,0,0,440.08,428.48,440.08,-,0
5,7/02/2020,Friday,PA,_.Gre,male,a9873,,1861.57,51.6,88.8,299.68,0.32,440.08,220.08,10
6,7/02/2020,Friday,PA,Pin.Pur,female,a9957,,2072.16,100.32,76,263.76,1.12,440.08,181.36,21
